index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,market,lot_size_65_days
2456,браслеты от укачивания,https://www.wildberries.ru/catalog/0/search.aspx?search=Браслеты+от+укачивания&xsearch=true,16.0,538.375,382.0,815.0,32.0,0.0,134.0,10.0,10.0,6.0,0.0,61.0,16.125,wb,92.0
2563,присоски для снятия дисплея,https://www.wildberries.ru/catalog/0/search.aspx?search=Присоски+для+снятия+дисплея&xsearch=true,6.0,548.8333333333334,354.0,767.0,21.0,0.0,46.0,3.0,3.0,3.0,10.0,65.0,44.83333333333334,wb,74.0
2661,эластики для брекетов,https://www.wildberries.ru/catalog/0/search.aspx?search=Эластики+для+брекетов&xsearch=true,22.0,399.0,399.0,399.0,46.0,2.0,195.0,16.0,13.0,8.0,30.0,60.0,58.63636363636363,wb,100.0
2797,гамаки для ног,https://www.wildberries.ru/catalog/0/search.aspx?search=Гамаки+для+ног&xsearch=true,32.0,1291.6875,576.0,2444.0,7.0,0.0,125.0,6.0,2.0,1.0,5.0,68.0,33.5625,wb,115.0
2981,термокомплекты для малышей,https://www.wildberries.ru/catalog/0/search.aspx?search=Термокомплекты+для+малышей&xsearch=true,24.0,1485.958333333333,621.0,2340.0,9.0,0.0,95.0,4.0,4.0,4.0,0.0,61.0,29.95833333333333,wb,116.0
3011,расширители хвата,https://www.wildberries.ru/catalog/0/search.aspx?search=Расширители+хвата&xsearch=true,15.0,1047.6666666666667,540.0,1499.0,12.0,0.0,47.0,9.0,9.0,9.0,0.0,59.0,21.066666666666666,wb,91.0
3106,футболки рабочие,https://www.wildberries.ru/catalog/0/search.aspx?search=Футболки+рабочие&xsearch=true,15.0,1228.2,560.0,3590.0,9.0,0.0,48.0,4.0,1.0,1.0,0.0,55.0,8.333333333333334,wb,97.0
3286,световые планшеты для рисования,https://www.wildberries.ru/catalog/0/search.aspx?search=Световые+планшеты+для+рисования&xsearch=true,27.0,1063.148148148148,388.0,4480.0,12.0,0.0,124.0,6.0,4.0,4.0,17.0,83.0,44.185185185185176,wb,107.0
3319,термошапки для волос,https://www.wildberries.ru/catalog/0/search.aspx?search=Термошапки+для+волос&xsearch=true,37.0,1790.2702702702704,460.0,3691.0,39.0,0.0,211.0,32.0,19.0,19.0,0.0,68.0,37.135135135135144,wb,150.0
3488,насадки для стрижки животных,https://www.wildberries.ru/catalog/0/search.aspx?search=Насадки+для+стрижки+животных&xsearch=true,4.0,1808.0,882.0,2785.0,51.0,2.0,155.0,3.0,3.0,3.0,10.0,41.0,22.75,wb,139.0
