index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount
11261,nyx filler,https://www.wildberries.ru/catalog/0/search.aspx?search=nyx%20filler&xsearch=true&xsearch=true&sort=popular,8.0,604.125,359.0,1026.0,88.0,6.0,269.0,7.0,6.0,6.0,5.0,40.0,22.0
11483,насадки на бритвенный станок,https://www.wildberries.ru/catalog/0/search.aspx?search=насадки%20на%20бритвенный%20станок&xsearch=true&xsearch=true&sort=popular,27.0,1144.962962962963,389.0,2297.0,41.0,0.0,300.0,25.0,25.0,25.0,0.0,80.0,36.629629629629626
11624,железный пистолет с пульками,https://www.wildberries.ru/catalog/0/search.aspx?search=железный%20пистолет%20с%20пульками&xsearch=true&xsearch=true&sort=popular,24.0,1639.583333333333,552.0,2995.0,29.0,0.0,57.0,20.0,20.0,20.0,0.0,78.0,48.95833333333334
11795,скретч постер 100 книг,https://www.wildberries.ru/catalog/0/search.aspx?search=скретч%20постер%20100%20книг&xsearch=true&xsearch=true&sort=popular,30.0,964.6,359.0,1781.0,9.0,0.0,76.0,18.0,18.0,18.0,0.0,67.0,22.9
11983,тобот v,https://www.wildberries.ru/catalog/0/search.aspx?search=тобот%20v&xsearch=true&xsearch=true&sort=popular,4.0,1667.75,629.0,2408.0,59.0,32.0,78.0,3.0,3.0,3.0,26.0,43.0,34.75
12024,коврик для пайки,https://www.wildberries.ru/catalog/0/search.aspx?search=коврик%20для%20пайки&xsearch=true&xsearch=true&sort=popular,20.0,1045.9,357.0,2917.0,16.0,0.0,112.0,14.0,14.0,14.0,0.0,58.0,34.5
12265,тоник для лица кристина,https://www.wildberries.ru/catalog/0/search.aspx?search=тоник%20для%20лица%20кристина&xsearch=true&xsearch=true&sort=popular,10.0,2060.7,1745.0,2956.0,61.0,10.0,154.0,9.0,9.0,7.0,13.0,13.0,13.0
12297,цитросепт,https://www.wildberries.ru/catalog/0/search.aspx?search=цитросепт&xsearch=true&xsearch=true&sort=popular,1.0,902.0,902.0,902.0,95.0,95.0,95.0,1.0,1.0,1.0,18.0,18.0,18.0
12706,сорочка в род дом,https://www.wildberries.ru/catalog/0/search.aspx?search=сорочка%20в%20род%20дом&xsearch=true&xsearch=true&sort=popular,44.0,1211.0454545454545,583.0,2059.0,19.0,0.0,180.0,38.0,38.0,35.0,32.0,75.0,60.5
12917,дезинкрустант,https://www.wildberries.ru/catalog/0/search.aspx?search=дезинкрустант&xsearch=true&xsearch=true&sort=popular,6.0,1216.3333333333333,448.0,2429.0,24.0,0.0,86.0,6.0,6.0,6.0,5.0,67.0,36.833333333333336
13144,морковные гонки,https://www.wildberries.ru/catalog/0/search.aspx?search=морковные%20гонки&xsearch=true&xsearch=true&sort=popular,2.0,738.0,360.0,1116.0,51.0,51.0,51.0,1.0,1.0,1.0,19.0,51.0,35.0
13188,бутылка майнкрафт,https://www.wildberries.ru/catalog/0/search.aspx?search=бутылка%20майнкрафт&xsearch=true&xsearch=true&sort=popular,21.0,636.0952380952381,382.0,2000.0,25.0,0.0,198.0,12.0,7.0,5.0,0.0,86.0,54.28571428571429
13685,простынь на резинке 190,https://www.wildberries.ru/catalog/0/search.aspx?search=простынь%20на%20резинке%20190&xsearch=true&xsearch=true&sort=popular,40.0,1133.7,686.0,2822.0,29.0,0.0,437.0,40.0,33.0,31.0,41.0,84.0,57.375
13962,детские игрушки умка,https://www.wildberries.ru/catalog/0/search.aspx?search=детские%20игрушки%20умка&xsearch=true&xsearch=true&sort=popular,2.0,927.5,359.0,1496.0,54.0,54.0,54.0,1.0,1.0,1.0,0.0,57.0,28.5
14030,малышарики постельное белье,https://www.wildberries.ru/catalog/0/search.aspx?search=малышарики%20постельное%20белье&xsearch=true&xsearch=true&sort=popular,4.0,1026.5,822.0,1208.0,74.0,0.0,216.0,2.0,2.0,2.0,51.0,82.0,66.25
14212,книга ясно понятно,https://www.wildberries.ru/catalog/0/search.aspx?search=книга%20ясно%20понятно&xsearch=true&xsearch=true&sort=popular,5.0,689.0,428.0,964.0,95.0,0.0,449.0,4.0,1.0,1.0,0.0,38.0,25.4
14309,pull bear,https://www.wildberries.ru/catalog/0/search.aspx?search=pull%20bear&xsearch=true&xsearch=true&sort=popular,7.0,822.2857142857142,402.0,1525.0,12.0,0.0,43.0,3.0,1.0,1.0,0.0,36.0,12.0
14802,фланелевый халат на пуговицах,https://www.wildberries.ru/catalog/0/search.aspx?search=фланелевый%20халат%20на%20пуговицах&xsearch=true&xsearch=true&sort=popular,74.0,934.5675675675676,446.0,1456.0,6.0,0.0,67.0,16.0,3.0,3.0,20.0,68.0,41.78378378378378
14863,тапки женские на танкетке,https://www.wildberries.ru/catalog/0/search.aspx?search=тапки%20женские%20на%20танкетке&xsearch=true&xsearch=true&sort=popular,49.0,455.20408163265313,377.0,685.0,20.0,0.0,54.0,39.0,30.0,21.0,50.0,85.0,69.65306122448979
14886,крышка топливного бака протектор,https://www.wildberries.ru/catalog/0/search.aspx?search=крышка%20топливного%20бака%20протектор&xsearch=true&xsearch=true&sort=popular,26.0,897.3461538461537,396.0,2399.0,9.0,0.0,75.0,13.0,13.0,13.0,0.0,50.0,32.53846153846154
14990,картина по номерам яблоки,https://www.wildberries.ru/catalog/0/search.aspx?search=картина%20по%20номерам%20яблоки&xsearch=true&xsearch=true&sort=popular,22.0,832.4545454545455,440.0,1545.0,7.0,0.0,84.0,2.0,1.0,1.0,0.0,96.0,47.22727272727273
15232,бутылка для воды адидас,https://www.wildberries.ru/catalog/0/search.aspx?search=бутылка%20для%20воды%20адидас&xsearch=true&xsearch=true&sort=popular,10.0,1142.0,455.0,1900.0,22.0,0.0,99.0,6.0,3.0,3.0,0.0,43.0,34.4
15592,гинокомфорт гель с мальвой,https://www.wildberries.ru/catalog/0/search.aspx?search=гинокомфорт%20гель%20с%20мальвой&xsearch=true&xsearch=true&sort=popular,6.0,429.33333333333326,369.0,588.0,273.0,181.0,429.0,6.0,6.0,6.0,5.0,5.0,5.0
15730,миры говарда,https://www.wildberries.ru/catalog/0/search.aspx?search=миры%20говарда&xsearch=true&xsearch=true&sort=popular,3.0,879.6666666666665,828.0,932.0,24.0,0.0,61.0,1.0,1.0,1.0,0.0,41.0,20.33333333333333
16271,"контактные линзы -2,0","https://www.wildberries.ru/catalog/0/search.aspx?search=контактные%20линзы%20-2,0&xsearch=true&xsearch=true&sort=popular",49.0,1011.2857142857144,352.0,1749.0,70.0,0.0,1199.0,31.0,30.0,30.0,12.0,39.0,27.79591836734694
16285,сумка polina,https://www.wildberries.ru/catalog/0/search.aspx?search=сумка%20polina&xsearch=true&xsearch=true&sort=popular,4.0,592.75,380.0,999.0,15.0,0.0,40.0,1.0,1.0,1.0,5.0,54.0,35.0
16613,электроимпульсная зажигалка,https://www.wildberries.ru/catalog/0/search.aspx?search=электроимпульсная%20зажигалка&xsearch=true&xsearch=true&sort=popular,45.0,941.0222222222222,448.0,1858.0,6.0,0.0,146.0,4.0,4.0,1.0,5.0,89.0,50.755555555555546
16760,кепка рибок,https://www.wildberries.ru/catalog/0/search.aspx?search=кепка%20рибок&xsearch=true&xsearch=true&sort=popular,34.0,946.5882352941176,531.0,1899.0,92.0,1.0,357.0,33.0,30.0,30.0,5.0,62.0,44.411764705882355
17290,тюль вуаль 400 на 240,https://www.wildberries.ru/catalog/0/search.aspx?search=тюль%20вуаль%20400%20на%20240&xsearch=true&xsearch=true&sort=popular,27.0,1246.1851851851852,759.0,1768.0,15.0,0.0,135.0,16.0,16.0,16.0,40.0,86.0,60.148148148148145
17857,тапок для мытья ног,https://www.wildberries.ru/catalog/0/search.aspx?search=тапок%20для%20мытья%20ног&xsearch=true&xsearch=true&sort=popular,44.0,767.7954545454545,381.0,2328.0,754.0,0.0,4692.0,44.0,44.0,44.0,0.0,77.0,45.84090909090909
17977,псорилом шампунь,https://www.wildberries.ru/catalog/0/search.aspx?search=псорилом%20шампунь&xsearch=true&xsearch=true&sort=popular,6.0,506.66666666666674,466.0,541.0,50.0,3.0,104.0,3.0,3.0,3.0,23.0,33.0,28.83333333333333
17992,дошиповка шин,https://www.wildberries.ru/catalog/0/search.aspx?search=дошиповка%20шин&xsearch=true&xsearch=true&sort=popular,1.0,2948.0,2948.0,2948.0,47.0,47.0,47.0,1.0,1.0,1.0,21.0,21.0,21.0
18097,наматрасник непромокаемый 80 190,https://www.wildberries.ru/catalog/0/search.aspx?search=наматрасник%20непромокаемый%2080%20190&xsearch=true&xsearch=true&sort=popular,17.0,917.470588235294,545.0,1520.0,18.0,0.0,54.0,13.0,11.0,6.0,33.0,86.0,60.058823529411775
